City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
217,Ulladulla,AU,-35.35,150.4667,84.78,67,60,11.1,broken clouds
218,Kuandian,CN,40.7286,124.7847,25.07,32,0,2.1,clear sky
219,Ostersund,SE,63.1792,14.6357,27.05,93,100,10.36,overcast clouds
220,Nouadhibou,MR,20.931,-17.0347,62.73,80,100,19.98,overcast clouds
221,Balbalan,PH,17.4414,121.2019,67.86,96,60,2.53,broken clouds
222,Georgetown,MY,5.4112,100.3354,89.53,71,20,1.01,haze
223,Kavieng,PG,-2.5744,150.7967,81.57,78,100,3.89,moderate rain
224,Oktyabrskiy,RU,54.4815,53.471,6.26,98,95,4.21,overcast clouds
225,Birao,CF,10.2849,22.7882,61.34,17,39,8.43,scattered clouds
226,Bud,US,39.447,-86.1758,23.92,72,97,8.61,overcast clouds
227,Dwarka,IN,22.2394,68.9678,69.87,58,0,5.86,clear sky
228,Colares,PT,38.7992,-9.4469,55.29,36,99,5.01,overcast clouds
229,Beyneu,KZ,45.3167,55.2,28.13,77,100,6.64,overcast clouds
230,Amos,CA,48.5669,-78.1162,-9.36,100,53,1.97,broken clouds
231,Taksimo,RU,56.3444,114.8794,-5.35,88,73,0.67,broken clouds
232,Ancud,CL,-41.8697,-73.8203,54.43,88,100,9.64,overcast clouds
233,Saint-Francois,FR,46.4154,3.9054,39.67,100,100,2.3,mist
234,Elizabeth City,US,36.2946,-76.2511,27.0,58,0,3.0,clear sky
235,Tallahassee,US,30.4383,-84.2807,36.64,71,0,0.0,clear sky
236,Bonthe,SL,7.5264,-12.505,75.51,85,89,2.86,overcast clouds
237,Chicama,PE,-7.8447,-79.1469,70.99,76,100,5.99,overcast clouds
238,Kysyl-Syr,RU,63.8986,122.7617,-11.15,97,100,4.97,overcast clouds
239,Altos Del Rosario,CO,8.7944,-74.1658,72.77,92,32,3.4,scattered clouds
240,Diffa,NE,13.3154,12.6113,58.46,33,58,10.22,broken clouds
241,Hefei,CN,31.8639,117.2808,41.32,52,15,0.51,few clouds
242,Talara,PE,-4.5772,-81.2719,71.31,83,76,10.11,broken clouds
243,Loutros,GR,40.5883,22.3994,38.34,64,8,1.52,clear sky
244,Lokosovo,RU,61.1333,74.8167,6.49,96,100,5.97,overcast clouds
245,Goma,CD,-1.6792,29.2228,61.66,76,21,3.53,few clouds
246,Rajula,IN,21.05,71.4333,71.11,25,0,6.91,clear sky
247,Victoria,HK,22.2855,114.1577,68.18,64,67,1.01,broken clouds
248,Bambamarca,PE,-6.6833,-78.5333,50.43,83,100,6.29,overcast clouds
249,Poum,NC,-20.2333,164.0167,81.84,77,100,8.66,overcast clouds
250,Hidalgo,MX,20.5,-99.0,44.17,89,78,3.0,broken clouds
251,Menongue,AO,-14.6585,17.691,62.91,95,100,10.78,light rain
252,Muskogee,US,35.5834,-95.3336,52.34,40,0,4.61,clear sky
253,Beloha,MG,-25.1667,45.05,73.89,80,61,10.29,broken clouds
254,Mattru,SL,7.6244,-11.8332,72.03,92,86,1.45,overcast clouds
255,Faya,SA,18.3851,42.4509,49.5,83,7,3.47,clear sky
256,Newport,GB,51.5877,-2.9984,39.54,89,20,1.01,few clouds
257,Fairbanks,US,64.8378,-147.7164,-25.51,99,5,2.51,clear sky
258,Tam Ky,VN,15.5667,108.4833,76.98,70,84,6.24,broken clouds
259,Mukhtolovo,RU,55.4644,43.1953,15.66,98,100,3.98,light snow
260,Komsomolskiy,UZ,40.4272,71.7189,34.52,93,100,4.61,fog
261,Brooks,CA,50.5834,-111.8851,30.04,64,100,7.16,overcast clouds
262,Santa Fe Do Sul,BR,-20.2111,-50.9258,70.63,95,88,9.93,overcast clouds
263,Dixon,US,38.4455,-121.8233,54.19,75,0,4.61,clear sky
264,Fort Nelson,CA,58.8053,-122.7002,4.59,78,100,8.05,light snow
265,Agen,FR,44.2,0.6333,37.51,100,100,3.44,mist
266,Bagdarin,RU,54.4333,113.6,1.99,74,4,1.59,clear sky
267,Znin,PL,52.8496,17.7199,40.14,83,100,31.94,light rain
268,Rylsk,RU,51.5655,34.6822,19.85,94,100,14.81,overcast clouds
269,Sorab,IN,14.3833,75.1,76.5,40,41,8.01,scattered clouds
270,Bluff,NZ,-46.6,168.3333,59.67,88,100,3.69,overcast clouds
271,Alyangula,AU,-13.8483,136.4192,84.15,73,100,14.34,heavy intensity rain
272,Dunedin,NZ,-45.8742,170.5036,57.72,94,100,2.39,overcast clouds
273,Pafos,CY,34.7667,32.4167,50.23,81,75,6.91,broken clouds
274,Kudat,MY,6.8837,116.8477,82.83,71,28,4.12,scattered clouds
275,Makinsk,KZ,52.6292,70.4169,10.63,96,93,6.91,overcast clouds
