City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Sitka,US,2022-01-29 06:37:17,57.0531,-135.33,42.69,81,100,12.66
135,Kahului,US,2022-01-29 06:33:17,20.8947,-156.47,75.22,77,0,4.61
136,Bongouanou,CI,2022-01-29 06:37:17,6.6486,-4.1992,69.55,95,66,0.87
137,Shache,CN,2022-01-29 06:37:18,38.4167,77.2406,29.71,28,99,3.94
138,Tuatapere,NZ,2022-01-29 06:37:18,-46.1333,167.6833,65.82,57,100,4.92
139,Qaqortoq,GL,2022-01-29 06:37:18,60.7167,-46.0333,25.3,82,100,16.28
140,Bredasdorp,ZA,2022-01-29 06:38:19,-34.5322,20.0403,68.29,68,58,9.22
141,Kaitangata,NZ,2022-01-29 06:38:19,-46.2817,169.8464,58.69,71,100,3.18
142,Tiksi,RU,2022-01-29 06:38:19,71.6872,128.8694,-9.96,100,33,5.99
143,Akdepe,TM,2022-01-29 06:38:20,42.0551,59.3788,28.49,56,6,11.21
144,Ayan,RU,2022-01-29 06:38:20,56.45,138.1667,0.5,81,100,12.82
145,Kruisfontein,ZA,2022-01-29 06:38:20,-34.0033,24.7314,69.89,64,21,5.91
146,Aksu,CN,2022-01-29 06:38:21,41.1231,80.2644,31.75,33,100,2.71
147,Paamiut,GL,2022-01-29 06:38:21,61.994,-49.6678,20.17,78,100,29.08
148,Lompoc,US,2022-01-29 06:38:21,34.6391,-120.4579,61.12,65,0,4.61
149,Ilulissat,GL,2022-01-29 06:38:22,69.2167,-51.1,21.22,53,100,20.71
150,Constitucion,CL,2022-01-29 06:38:22,-35.3333,-72.4167,55.87,93,7,3.76
151,Cayenne,GF,2022-01-29 06:38:22,4.9333,-52.3333,75.09,91,75,1.14
152,Sindor,RU,2022-01-29 06:38:23,62.8629,51.8905,9.97,94,100,7.76
153,Grand-Santi,GF,2022-01-29 06:38:23,4.25,-54.3833,70.88,99,100,2.1
154,Champerico,GT,2022-01-29 06:38:23,14.3,-91.9167,77.04,79,6,6.22
155,Ust-Kuyga,RU,2022-01-29 06:38:24,70.0167,135.6,-30.33,100,99,2.66
156,Ancud,CL,2022-01-29 06:38:24,-41.8697,-73.8203,49.42,80,2,2.84
157,La Palma,US,2022-01-29 06:38:24,33.8464,-118.0467,64.36,16,0,3.0
158,Anadyr,RU,2022-01-29 06:38:25,64.75,177.4833,-7.01,83,0,4.0
159,Nantucket,US,2022-01-29 06:35:32,41.2835,-70.0995,36.97,89,100,28.97
160,Severnyy,RU,2022-01-29 06:38:25,50.677,36.5532,32.04,93,100,4.47
161,Stargard Szczecinski,PL,2022-01-29 06:38:26,53.3367,15.0499,38.34,84,100,13.0
162,Masuguru,TZ,2022-01-29 06:38:26,-11.3667,38.4167,72.3,98,100,2.59
163,Bergen,NO,2022-01-29 06:38:27,60.392,5.328,49.64,98,75,19.57
164,Port Lincoln,AU,2022-01-29 06:38:27,-34.7333,135.8667,71.8,69,0,18.68
165,Maningrida,AU,2022-01-29 06:38:27,-12.0667,134.2667,85.51,73,99,15.7
166,Kudahuvadhoo,MV,2022-01-29 06:38:28,2.6708,72.8944,80.98,64,51,9.98
167,Lomovka,RU,2022-01-29 06:38:28,53.9194,58.3672,7.09,88,100,2.66
168,Rohtak,IN,2022-01-29 06:38:28,28.9,76.5667,62.69,41,0,7.43
169,Areosa,PT,2022-01-29 06:38:28,41.7178,-8.8571,43.86,57,0,6.02
170,Teahupoo,PF,2022-01-29 06:38:29,-17.8333,-149.2667,75.16,76,66,17.4
171,Grants,US,2022-01-29 06:38:29,35.1473,-107.8514,14.23,85,0,8.05
172,Karpogory,RU,2022-01-29 06:38:30,64.0019,44.4451,15.93,95,100,7.7
173,Margate,GB,2022-01-29 06:38:30,51.3813,1.3862,51.96,82,97,4.0
174,Khatanga,RU,2022-01-29 06:38:30,71.9667,102.5,-6.29,98,100,6.24
175,Georgetown,MY,2022-01-29 06:38:31,5.4112,100.3354,91.33,74,20,10.0
176,Octeville,FR,2022-01-29 06:38:31,49.6261,-1.6435,48.92,93,100,18.41
177,Mahebourg,MU,2022-01-29 06:38:31,-20.4081,57.7,87.26,74,75,6.91
178,Roebourne,AU,2022-01-29 06:38:31,-20.7833,117.1333,93.54,46,55,26.91
179,Hofn,IS,2022-01-29 06:38:32,64.2539,-15.2082,29.59,54,98,23.42
180,Sioux Lookout,CA,2022-01-29 06:38:32,50.1001,-91.917,-5.42,84,75,5.75
181,Mokhsogollokh,RU,2022-01-29 06:38:32,61.4681,128.9203,-10.73,94,100,5.55
182,Chokurdakh,RU,2022-01-29 06:38:33,70.6333,147.9167,-16.46,86,100,3.38
183,Souillac,MU,2022-01-29 06:38:33,-20.5167,57.5167,87.37,74,75,6.91
184,Bonthe,SL,2022-01-29 06:38:33,7.5264,-12.505,75.67,89,79,4.56
185,Swan Hill,AU,2022-01-29 06:38:34,-35.3378,143.5544,86.14,47,77,10.4
186,Havre-Saint-Pierre,CA,2022-01-29 06:39:34,50.2334,-63.5986,-2.2,64,0,9.22
187,High Level,CA,2022-01-29 06:39:34,58.5169,-117.136,15.91,86,100,4.61
188,Natal,BR,2022-01-29 06:38:40,-5.795,-35.2094,71.82,100,100,4.61
189,Ginir,ET,2022-01-29 06:39:35,7.1333,40.7,71.67,18,97,6.4
190,Kawasaki,JP,2022-01-29 06:34:35,35.5206,139.7172,51.51,47,75,4.61
191,Ahuimanu,US,2022-01-29 06:39:35,21.4447,-157.8378,74.91,79,75,1.99
192,Abilene,US,2022-01-29 06:39:36,32.4487,-99.7331,41.49,48,0,8.05
193,Rafsanjan,IR,2022-01-29 06:39:36,30.4067,55.9939,50.94,31,100,4.36
194,Torbay,CA,2022-01-29 06:39:36,47.6666,-52.7314,29.75,88,100,13.8
195,Husavik,IS,2022-01-29 06:39:37,66.0449,-17.3389,26.51,85,100,21.97
196,Nikolskoye,RU,2022-01-29 06:39:37,59.7035,30.7861,22.89,100,85,3.36
197,Keetmanshoop,NA,2022-01-29 06:39:38,-26.5833,18.1333,83.28,27,99,3.53
198,Esperance,AU,2022-01-29 06:39:38,-33.8667,121.9,93.04,47,0,18.81
199,Yuncheng,CN,2022-01-29 06:39:38,35.0231,110.9928,40.3,55,62,3.47
200,Leningradskiy,RU,2022-01-29 06:39:39,69.3833,178.4167,-10.71,88,71,4.05
201,Norman Wells,CA,2022-01-29 06:39:39,65.282,-126.8329,-11.16,70,75,10.36
202,Olafsvik,IS,2022-01-29 06:39:39,64.8945,-23.7142,26.96,52,4,8.19
203,San Rafael Del Sur,NI,2022-01-29 06:39:40,11.8485,-86.4384,77.97,72,1,11.21
204,Louis Trichardt,ZA,2022-01-29 06:39:40,-23.0439,29.9032,65.62,97,100,9.8
205,Koutsouras,GR,2022-01-29 06:39:40,35.0339,25.9469,52.95,63,69,4.76
206,Abu Samrah,SY,2022-01-29 06:39:41,35.3029,37.1841,39.6,87,99,3.29
207,Airai,TL,2022-01-29 06:39:41,-8.9266,125.4092,70.79,66,97,5.39
208,Tam Ky,VN,2022-01-29 06:39:42,15.5667,108.4833,80.58,67,7,8.68
209,Mirnyy,RU,2022-01-29 06:39:42,62.5353,113.9611,-12.77,76,24,7.0
210,Port Hardy,CA,2022-01-29 06:39:42,50.6996,-127.4199,45.75,81,75,3.44
211,Romitan,UZ,2022-01-29 06:39:43,39.9343,64.3814,37.35,81,40,9.22
212,Flin Flon,CA,2022-01-29 06:39:43,54.7682,-101.865,1.74,98,100,2.86
213,San Cristobal,VE,2022-01-29 06:39:43,7.7669,-72.225,63.61,84,13,3.2
214,Cairns,AU,2022-01-29 06:38:35,-16.9167,145.7667,84.15,70,75,6.91
215,Oranjestad,AW,2022-01-29 06:38:49,12.524,-70.027,77.88,73,64,12.82
216,Marrakesh,MA,2022-01-29 06:35:01,31.6315,-8.0083,62.67,36,40,10.36
217,Chuy,UY,2022-01-29 06:39:44,-33.6971,-53.4616,62.69,83,1,3.4
218,Garden City,US,2022-01-29 06:36:58,42.3256,-83.331,9.86,77,20,0.0
219,Flinders,AU,2022-01-29 06:39:44,-34.5833,150.8552,81.81,72,19,5.99
220,Pisco,PE,2022-01-29 06:34:45,-13.7,-76.2167,66.25,77,0,2.3
221,Dzerzhinsk,RU,2022-01-29 06:39:45,56.2389,43.4631,19.22,85,75,6.71
222,Bilma,NE,2022-01-29 06:39:45,18.6853,12.9164,53.64,23,0,10.2
223,Mombetsu,JP,2022-01-29 06:39:46,44.3525,143.3525,23.86,100,75,3.44
224,Klaksvik,FO,2022-01-29 06:39:46,62.2266,-6.589,38.32,72,99,41.63
225,Egvekinot,RU,2022-01-29 06:39:46,66.3167,-179.1667,-4.34,72,70,4.16
226,Baoning,CN,2022-01-29 06:39:47,25.3378,110.026,40.86,93,100,6.71
227,Coihaique,CL,2022-01-29 06:39:47,-45.5752,-72.0662,63.21,55,0,4.61
228,Honningsvag,NO,2022-01-29 06:39:48,70.9821,25.9704,28.58,58,91,5.7
229,Sorland,NO,2022-01-29 06:40:48,67.667,12.6934,33.06,97,100,28.83
230,Luangwa,ZM,2022-01-29 06:40:48,-15.6167,30.4167,73.94,95,100,2.39
231,Baykit,RU,2022-01-29 06:40:49,61.67,96.37,2.14,95,100,2.98
232,Kununurra,AU,2022-01-29 06:40:49,-15.7667,128.7333,82.38,89,40,2.3
233,Saskylakh,RU,2022-01-29 06:40:49,71.9167,114.0833,-11.74,96,99,5.59
234,Limin Khersonisou,GR,2022-01-29 06:40:49,35.3162,25.3928,52.9,66,20,9.22
235,Weiser,US,2022-01-29 06:38:34,44.251,-116.9693,19.6,90,82,3.44
236,Fortuna,US,2022-01-29 06:40:50,40.5982,-124.1573,44.1,87,0,8.05
237,Mount Gambier,AU,2022-01-29 06:40:50,-37.8333,140.7667,71.51,56,100,19.57
238,Kavieng,PG,2022-01-29 06:40:51,-2.5744,150.7967,83.25,72,100,3.02
239,Lardos,GR,2022-01-29 06:40:51,36.0942,28.0157,45.95,62,100,4.41
240,Cururupu,BR,2022-01-29 06:40:51,-1.8283,-44.8683,72.86,94,100,4.03
241,Dikson,RU,2022-01-29 06:40:52,73.5069,80.5464,1.13,95,100,17.85
242,Namwala,ZM,2022-01-29 06:40:52,-15.7504,26.4384,71.67,80,100,5.99
243,Bull Savanna,JM,2022-01-29 06:40:52,17.8868,-77.5902,71.2,81,1,3.42
244,Tazovskiy,RU,2022-01-29 06:40:53,67.4667,78.7,-13.45,100,95,5.59
245,Mkushi,ZM,2022-01-29 06:40:53,-13.6202,29.3939,68.88,91,100,2.84
246,Alofi,NU,2022-01-29 06:40:53,-19.0595,-169.9187,76.89,88,100,4.61
247,Sunndalsora,NO,2022-01-29 06:40:54,62.6754,8.5515,42.85,93,100,11.16
248,Termoli,IT,2022-01-29 06:40:54,41.9888,14.9895,47.75,49,100,23.22
249,Faanui,PF,2022-01-29 06:40:54,-16.4833,-151.75,80.83,75,2,15.59
250,Aklavik,CA,2022-01-29 06:40:54,68.2191,-135.0107,-17.57,87,13,6.11
251,Peterhead,GB,2022-01-29 06:40:55,57.5058,-1.7981,55.8,70,15,29.44
252,Belle Fourche,US,2022-01-29 06:38:27,44.6714,-103.8522,48.11,46,100,13.6
253,Severo-Kurilsk,RU,2022-01-29 06:40:55,50.6789,156.125,22.75,72,100,22.03
254,Lujan,AR,2022-01-29 06:40:03,-34.5703,-59.105,71.35,89,0,5.82
255,Ilinskiy,RU,2022-01-29 06:40:56,55.619,38.1182,21.78,93,75,6.71
256,Missoula,US,2022-01-29 06:40:56,47.0166,-113.8009,16.54,73,100,1.01
257,Ode,NG,2022-01-29 06:40:56,7.7899,5.7117,72.41,25,100,3.0
258,Vanderhoof,CA,2022-01-29 06:40:57,54.0166,-124.0198,27.1,98,100,0.83
259,Padang,ID,2022-01-29 06:40:57,-0.9492,100.3543,85.37,73,57,6.04
260,Nizhnevartovsk,RU,2022-01-29 06:40:57,60.9344,76.5531,-3.98,84,75,4.47
261,Nishihara,JP,2022-01-29 06:40:58,26.1842,127.7558,65.48,94,75,12.66
262,Korla,CN,2022-01-29 06:39:12,41.7597,86.1469,29.46,43,2,3.53
263,Gambela,ET,2022-01-29 06:40:58,8.25,34.5833,89.35,26,5,3.02
264,Mackenzie,CA,2022-01-29 06:40:59,55.2999,-123.1698,32.22,86,100,10.36
265,Santa Isabel Do Rio Negro,BR,2022-01-29 06:40:59,-0.4139,-65.0192,73.31,99,100,1.03
266,Pierre,US,2022-01-29 06:38:45,44.3683,-100.351,31.12,47,0,6.91
267,Maragogi,BR,2022-01-29 06:41:00,-9.0122,-35.2225,75.49,88,100,7.99
268,Vao,NC,2022-01-29 06:41:00,-22.6667,167.4833,78.6,86,100,19.95
269,Rehoboth,NA,2022-01-29 06:41:00,-23.3167,17.0833,77.86,43,34,14.83
270,Calatrava,PH,2022-01-29 06:41:00,10.595,123.4838,86.02,69,87,3.13
271,Salinopolis,BR,2022-01-29 06:41:01,-0.6136,-47.3561,76.01,91,100,13.4
272,Garowe,SO,2022-01-29 06:41:01,8.4054,48.4845,75.33,42,100,16.08
273,Witu,KE,2022-01-29 06:41:02,-2.3889,40.4382,80.76,60,100,5.14
274,Skjervoy,NO,2022-01-29 06:41:02,70.0311,20.9714,26.64,65,0,20.69
275,Iqaluit,CA,2022-01-29 06:39:38,63.7506,-68.5145,-22.27,69,100,11.5
276,Fairbanks,US,2022-01-29 06:41:02,64.8378,-147.7164,1.36,60,75,8.05
277,Karatuzskoye,RU,2022-01-29 06:42:03,53.6072,92.8667,8.01,80,13,2.06
278,Awbari,LY,2022-01-29 06:42:03,26.5921,12.7805,44.96,47,3,3.29
279,Tautira,PF,2022-01-29 06:42:03,-17.7333,-149.15,80.62,76,55,16.93
280,Kodiak,US,2022-01-29 06:42:04,57.79,-152.4072,26.11,68,20,21.85
281,Lokoja,NG,2022-01-29 06:42:04,7.8024,6.743,76.08,23,100,1.97
282,Dehui,CN,2022-01-29 06:42:04,44.5333,125.7,19.71,69,6,8.3
283,Lisakovsk,KZ,2022-01-29 06:37:39,52.5369,62.4936,9.64,83,100,4.59
284,Kolosovka,RU,2022-01-29 06:42:05,56.4678,73.611,10.38,93,100,5.12
285,Nador,MA,2022-01-29 06:42:05,35.174,-2.9287,57.45,88,75,11.5
286,Cherskiy,RU,2022-01-29 06:42:05,68.75,161.3,-13.43,96,100,2.26
287,Moose Factory,CA,2022-01-29 06:42:06,51.2585,-80.6094,-14.82,76,0,2.3
288,Santa Maria,BR,2022-01-29 06:42:06,-29.6842,-53.8069,59.2,92,0,5.82
289,Casalecchio Di Reno,IT,2022-01-29 06:42:06,44.4756,11.2759,44.58,100,16,1.14
290,Nouadhibou,MR,2022-01-29 06:42:07,20.931,-17.0347,58.98,88,100,16.11
291,Elko,US,2022-01-29 06:42:07,41.0002,-115.5012,21.22,60,0,5.93
292,Lasa,IT,2022-01-29 06:42:08,46.6166,10.7002,34.68,86,40,7.72
293,Visby,SE,2022-01-29 06:42:08,57.6409,18.296,35.82,93,100,19.57
